point_no,atoll,lon,lat,sla_offset,shore_normal_angle,threshold_1,threshold_2
1,Rarotonga,200.2232657,-21.174637,0.649177903,180,2.023473173,2.143881118
2,Rarotonga,200.312954,-21.247675,0.649177903,90,1.833461432,2.063612068
3,Rarotonga,200.2259885,-21.305003,0.649177903,270,1.846627397,2.167525003
4,Rarotonga,200.1258545,-21.232086,0.649177903,0,2.199854623,2.634470636
1,Aitutaki,200.2262731,-18.759403,0.703381043,180,1.726979907,1.810335359
2,Aitutaki,200.3474711,-18.903232,0.703381043,90,1.767425544,1.926444783
3,Aitutaki,200.2200374,-19.009047,0.703381043,270,1.819596711,2.135678689
4,Aitutaki,200.0839303,-18.893209,0.703381043,0,2.363606627,2.876995347
1,Mangaia,202.0776858,-21.806736,0.62771313,180,2.072814033,2.233469246
2,Mangaia,202.2331355,-21.937812,0.62771313,90,1.8432011,2.085241875
3,Mangaia,202.08188,-22.042838,0.62771313,270,1.849121434,2.053046107
4,Mangaia,201.9349443,-21.927642,0.62771313,0,2.382117471,2.890787883
1,NgaPuToru,202.2942517,-19.661446,0.686452106,180,1.821591718,1.996787823
2,NgaPuToru,202.9436633,-20.034461,0.686452106,90,1.67940009,1.821041127
3,NgaPuToru,202.3160077,-20.394493,0.686452106,270,1.769801414,2.17892497
4,NgaPuToru,201.4730964,-19.944219,0.686452106,0,2.288642367,2.741918914
1,Palmerston,196.8321267,-17.939125,0.692902471,180,1.878695771,1.970081241
2,Palmerston,196.9376208,-18.03853,0.692902471,90,1.860661335,2.286542481
3,Palmerston,196.8451942,-18.150716,0.692902471,270,2.187331112,2.693690919
4,Palmerston,196.7298409,-18.031626,0.692902471,0,2.512822873,2.98893184
1,PukaPuka,194.1609658,-10.633848,0.698483321,180,1.727590948,1.818125847
2,PukaPuka,194.8390043,-11.55666,0.698483321,90,1.425654884,1.526955072
3,PukaPuka,194.1404764,-11.752522,0.698483321,270,1.820264238,2.109371162
4,PukaPuka,193.737531,-10.918696,0.698483321,0,1.708703615,2.144869878
1,Manihiki,198.9576846,-9.847863,0.700998853,180,1.402693956,1.501211698
2,Manihiki,199.3302755,-10.436459,0.700998853,90,1.214538188,1.306240652
3,Manihiki,199.0083817,-10.732845,0.700998853,270,1.654427636,1.913688068
4,Manihiki,198.6133162,-10.395532,0.700998853,0,1.439592669,1.6715197
1,Penrhyn,202.0071844,-8.742628,0.706202993,180,1.129196042,1.21206992
2,Penrhyn,202.284739,-9.006222,0.706202993,90,1.162610884,1.265468971
3,Penrhyn,202.0424479,-9.240739,0.706202993,270,1.29424744,1.431329559
4,Penrhyn,201.7672906,-8.976963,0.706202993,0,1.414365579,1.622253748
